,id,a,b,c,d,e,f,g,h,i,j,k,l,m,n
0,26680,33,2,137876,5,11,2,5,4,0,1,1,1,31,0
1,2562,41,1,151961,5,11,2,6,4,0,1,1,1,39,0
2,5537,51,2,274529,1,10,2,6,5,0,0,1,1,41,0
3,5782,22,2,301695,1,10,0,6,0,0,0,1,1,36,4
4,12861,27,4,214216,2,8,1,4,5,0,0,1,1,51,0
5,7545,32,2,261944,5,11,1,1,1,0,0,1,1,41,0
6,12447,24,2,213956,1,10,0,0,3,1,0,1,2002,41,0
7,9347,60,2,175690,5,11,1,0,2,0,1,1,1,15,1
8,26836,40,2,136082,1,10,1,9,1,0,0,1,2052,41,0
9,10390,65,2,110151,1,10,1,11,1,0,0,1,1,41,0
10,4021,65,5,56589,5,11,6,1,4,0,1,1,1,71,0
11,27359,39,2,197114,5,11,2,0,4,1,1,1,1,21,0
12,5233,53,2,317626,3,15,2,3,4,0,1,1,1,41,0
13,14159,33,2,136332,0,14,1,5,1,0,0,1,1888,41,0
14,2184,64,5,54053,3,15,1,5,1,0,0,1,1,69,0
15,1473,56,2,118058,1,10,6,6,4,0,0,1,1,52,0
16,16008,34,2,172305,7,12,1,6,1,0,0,1,1,51,0
17,10046,51,4,97450,5,11,1,11,1,0,0,1,1,49,0
18,2299,35,1,227541,0,14,1,5,1,2,0,1,1,61,3
19,6937,26,2,179773,1,10,0,5,4,0,1,1,1,41,0
20,18620,44,2,347935,1,10,4,5,0,0,1,1,1,31,0
21,2709,24,2,26249,1,10,0,0,3,0,1,1,1,41,0
22,28566,32,2,246440,5,11,1,6,1,0,0,1,1,46,0
23,27926,56,3,238193,1,10,1,10,1,0,0,1,1888,41,0
24,25814,54,2,194502,2,8,6,4,3,0,1,1,1,48,0
25,8101,46,1,40667,7,12,1,8,1,0,0,2886,1,61,0
26,16558,37,2,410035,6,13,1,6,1,0,0,1,1,46,0
27,12990,35,4,79191,0,14,1,3,2,0,1,1,1,51,0
28,4524,55,2,27485,1,10,1,1,1,0,0,1,1,41,0
29,8874,25,2,126614,0,14,0,5,0,0,1,1,1,51,0
30,8547,39,2,175121,1,10,2,6,0,0,0,1,1,41,0
31,13500,60,2,159049,1,10,2,4,0,0,1,1,1,41,0
32,13973,30,2,173790,1,10,1,5,1,0,0,1,1,41,0
33,7891,47,2,37719,6,13,1,10,1,0,0,1,1978,51,0
34,2168,46,2,259413,10,16,1,3,1,0,0,100000,1,51,0
35,15435,31,2,226536,1,10,0,7,0,0,0,4866,1,41,0
36,10274,42,2,121719,5,11,1,6,1,0,0,1,1,41,13
37,11392,20,2,323055,1,10,0,5,0,2,0,1,1,31,0
38,11110,41,2,45688,5,11,2,4,0,1,0,4788,1,51,0
39,13896,56,2,182461,1,10,1,6,1,0,0,15025,1,36,0
40,1132,32,2,316673,1,10,0,4,4,0,1,1,1,41,4
41,26192,36,2,194592,5,11,1,10,1,0,0,1,1,41,0
42,3587,45,2,429833,5,11,1,1,1,0,0,1,1,41,0
43,7117,48,2,284917,1,10,1,5,1,0,0,7299,1,46,0
44,1772,52,2,120174,7,12,1,6,1,0,0,3104,1,51,0
45,13126,38,0,122494,1,10,1,11,1,0,0,1,1,56,0
46,14659,32,2,178665,5,11,2,4,0,0,1,1,1,31,0
47,22592,49,5,382243,9,17,1,1,2,0,1,1,1,41,0
48,11029,33,2,157748,5,11,1,10,1,0,0,1,1,46,0
49,8676,37,1,52871,0,14,1,1,1,0,0,4387,1,51,0
50,9045,29,3,56652,0,14,0,3,3,1,1,1,1,41,0
51,12177,48,2,133759,1,10,2,1,0,0,1,1,1975,41,0
52,11057,34,2,150155,5,11,1,6,1,0,0,1,1,41,0
53,106,42,4,201521,1,10,1,11,1,0,0,1,1,41,0
54,31809,55,3,75236,1,10,1,1,1,0,0,5179,1,41,0
55,28494,42,2,172829,4,6,1,4,1,0,0,1,1,56,31
56,26482,55,2,139348,1,10,6,0,4,0,1,1,1,41,0
57,14544,38,2,160917,8,5,1,3,2,0,1,1,1,41,0
58,27249,29,2,51962,5,11,0,10,3,1,0,1,1,25,0
59,4485,28,2,219372,1,10,3,0,4,0,1,1,1,41,2
60,29193,42,1,287038,1,10,1,3,1,0,0,1,1,41,0
61,4215,53,2,214092,1,10,6,4,0,3,1,1,1,41,0
62,1584,49,1,65536,1,10,1,8,1,0,0,1,1,51,0
63,30743,22,2,187089,5,11,0,0,3,4,1,1,1,21,1
64,4136,45,2,76197,0,14,1,1,1,0,0,1,1,51,0
65,15756,63,0,254891,1,10,1,0,1,0,0,1,1,41,0
66,3414,53,1,194792,5,11,1,6,1,0,0,1,1,41,0
67,729,25,2,236697,0,14,0,10,0,0,0,1,1,51,20
68,9882,25,2,197555,1,10,0,0,3,0,1,1,1,41,0
69,6445,32,2,207101,0,14,0,1,3,1,1,1,1,41,0
70,11446,30,2,78262,1,10,4,11,0,0,0,1,1,56,0
71,1671,44,2,83757,5,11,0,1,4,0,0,1,1,51,0
72,21310,22,2,273404,7,12,0,4,0,0,1,1,1,51,0
73,11629,32,2,129805,4,6,0,8,0,0,0,1,1,41,6
